,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
268,0.07,0.0001,0.15,0.0001,1.18,0.0001,0.0001,0.91,0.0001,0.49,0.0001,0.17,0.45,0.0001,0.24,2.01,3.39,0.55,0.0001,2.14,0.18,0.0001,0.0001,0.0001,1.56,0.0001,0.0001,0.44,0.0001,0.0001,1.29,1.56,0.0001,1.14,0.0001,1.02,0.0001,0.0001,0.0001,0.0001,1.91,0.0001,0.77,0.0001,1.28,0.0001,0.0001,1.25,0.0001,0.0001,0.0001,1.08,0.41,2.06,0.0001,0.72,1.57,0.0001,0.0001,0.0001,0.18,0.0001,0.71,0.53,0.0001,0.29,0.86,0.0001,0.0001,0.38,0.0001,0.03,0.0001,0.0001,0.33,0.85,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.76,0.0001,0.0001,1.31,1.98,0.31,2.69,0.0001,0.0001,3.08,0.0001,0.7,0.56,0.0001,3.7,0.0001,0.0001,0.0001,0.0001,0.87,0.13,0.0001,0.0001,0.0001,0.0001
269,0.0001,0.51,0.0001,0.0001,0.51,0.0001,0.81,1.63,0.0001,0.13,0.0001,0.51,0.0001,0.0001,1.43,0.46,1.66,0.75,1.78,0.18,0.0001,0.92,0.0001,0.0001,0.32,0.0001,0.11,0.0001,0.0001,0.0001,0.0001,1.44,1.07,0.45,0.0001,2.0,0.0001,0.0001,0.0001,0.0001,2.31,0.0001,0.36,0.0001,1.51,0.0001,0.0001,1.23,0.0001,0.21,0.19,1.52,0.69,0.76,0.0001,1.39,0.52,0.0001,0.0001,0.0001,0.91,0.0001,0.0001,0.06,0.0001,0.39,0.0001,0.0001,0.0001,0.0001,0.0001,1.14,0.0001,0.0001,0.0001,0.0001,0.0001,1.31,0.15,0.0001,0.0001,0.0001,0.0001,0.0001,1.62,0.0001,0.0001,0.0001,3.15,0.53,2.05,0.44,0.0001,2.99,0.0001,0.44,0.67,0.44,3.21,0.4,0.06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.12
270,0.07,0.0001,0.15,0.0001,0.0001,0.0001,0.77,1.91,0.0001,0.0001,0.0001,0.17,0.0001,0.0001,1.24,1.01,3.39,0.55,3.27,0.14,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.67,0.44,0.0001,0.22,0.0001,0.56,0.66,1.14,0.0001,1.02,0.0001,0.0001,0.0001,0.0001,0.91,0.0001,0.0001,0.12,1.28,0.0001,0.0001,1.25,0.0001,0.94,0.86,1.08,0.41,0.0001,0.41,0.72,0.57,0.0001,0.0001,0.0001,1.18,1.0,0.0001,1.53,0.0001,0.0001,0.86,0.42,0.0001,0.0001,0.0001,0.03,0.0001,0.0001,0.0001,0.0001,0.0001,2.36,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.76,0.0001,0.0001,0.0001,1.98,0.31,1.69,0.0001,0.66,2.08,0.0001,0.0001,0.56,0.0001,1.7,0.21,0.6,0.0001,0.97,0.0001,0.0001,0.0001,0.0001,0.49,0.0001
271,0.16,0.0001,0.44,0.24,0.0001,0.0001,0.81,1.63,0.0001,0.13,0.0001,0.51,0.0001,0.0001,0.43,0.0001,2.66,0.0001,2.78,0.18,0.0001,0.92,0.0001,0.0001,0.0001,0.0001,0.11,0.55,0.0001,0.78,0.0001,1.44,0.0001,0.45,0.61,0.0001,0.0001,0.0001,0.0001,0.0001,0.31,1.1,0.36,2.24,0.51,0.0001,0.0001,1.23,0.0001,0.21,0.19,1.52,0.0001,0.0001,0.89,0.39,1.52,0.0001,0.0001,0.0001,0.91,1.12,0.0001,1.06,0.0001,0.39,0.0001,0.0001,0.0001,0.0001,2.06,0.0001,0.22,0.0001,0.0001,0.0001,0.0001,4.31,0.15,0.0001,0.28,0.0001,0.62,0.52,2.62,0.0001,1.75,0.0001,1.15,0.0001,0.05,0.0001,0.0001,0.99,0.2,0.0001,0.67,0.0001,1.21,0.4,0.06,0.04,0.44,0.0001,0.0001,0.0001,0.0001,1.71,0.12
272,0.07,0.0001,0.15,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.17,0.0001,0.0001,0.0001,0.0001,1.39,0.0001,0.27,1.14,0.0001,0.0001,0.0001,0.0001,0.56,0.0001,0.67,0.44,0.0001,0.0001,0.0001,0.56,0.0001,0.14,1.76,0.02,0.0001,0.0001,0.0001,0.0001,0.0001,2.76,0.0001,1.12,0.0001,0.47,0.21,1.25,0.0001,0.0001,0.0001,2.08,0.0001,0.06,0.41,0.72,1.57,0.0001,0.0001,0.0001,0.18,1.0,0.0001,0.53,0.0001,0.29,0.86,0.0001,0.02,0.0001,2.57,0.0001,1.81,0.0001,0.0001,0.0001,0.0001,4.36,0.0001,0.0001,0.0001,0.2,0.55,0.59,1.76,0.0001,4.04,1.31,0.98,0.0001,0.0001,0.0001,0.66,2.08,0.0001,0.0001,0.0001,0.44,0.0001,0.21,0.6,0.0001,0.0001,0.0001,0.13,0.0001,0.0001,1.49,0.0001
273,0.16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.63,0.0001,0.0001,0.0001,0.51,0.0001,0.0001,0.0001,0.0001,0.66,0.0001,0.0001,2.18,0.0001,0.0001,0.0001,0.0001,0.32,0.0001,1.11,0.55,0.69,0.0001,0.0001,0.44,0.07,0.0001,0.61,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,7.1,0.36,0.24,0.0001,0.63,0.0001,0.23,0.0001,0.21,0.0001,0.52,0.0001,0.0001,0.0001,0.39,0.52,0.16,0.0001,0.0001,0.0001,0.12,0.0001,0.06,0.0001,1.39,0.0001,0.0001,1.01,0.0001,1.06,0.0001,2.22,0.0001,0.0001,0.0001,0.0001,3.31,0.0001,0.0001,0.28,0.0001,0.62,1.52,0.62,0.0001,2.75,0.83,2.15,0.0001,0.0001,0.0001,0.0001,1.99,0.2,0.0001,0.0001,0.0001,0.21,0.0001,1.06,0.04,0.0001,0.0001,0.0001,0.0001,0.0001,0.71,0.0001
274,0.07,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.24,0.0001,0.0001,0.0001,0.0001,1.14,0.18,0.0001,0.0001,0.0001,0.0001,0.0001,0.67,0.0001,0.34,0.0001,0.29,0.0001,0.66,0.0001,0.76,0.0001,0.57,0.0001,0.0001,0.64,0.0001,7.76,0.0001,0.0001,0.28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.41,0.72,0.0001,0.6,0.0001,0.0001,0.18,0.0001,0.0001,0.0001,0.0001,0.29,0.0001,0.42,1.02,1.38,1.57,0.0001,0.81,0.0001,0.33,0.0001,0.0001,1.36,0.0001,0.0001,0.0001,0.0001,0.55,1.59,0.0001,0.0001,2.04,1.31,0.98,0.0001,0.0001,0.0001,0.66,1.08,0.79,0.0001,0.56,0.0001,0.0001,0.0001,0.6,0.0001,0.0001,0.87,0.0001,0.55,0.96,0.0001,0.0001
275,0.16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.92,0.0001,2.13,0.0001,0.43,0.0001,0.0001,0.0001,0.78,0.0001,0.0001,0.92,0.0001,0.0001,0.0001,0.0001,1.11,0.0001,0.0001,0.0001,0.0001,0.0001,1.07,0.0001,0.61,0.0001,0.82,0.0001,0.0001,0.71,0.0001,3.1,0.0001,0.0001,1.51,1.63,0.0001,0.0001,0.0001,0.21,0.0001,0.0001,0.0001,0.0001,0.89,0.0001,0.0001,1.16,0.0001,0.0001,0.0001,0.0001,0.27,0.0001,0.0001,0.39,0.82,0.0001,1.01,1.79,2.06,0.0001,0.0001,0.0001,0.13,1.6,0.0001,0.0001,0.0001,0.64,0.0001,0.0001,1.62,1.52,0.0001,0.0001,2.75,2.83,0.15,0.0001,0.05,0.44,0.0001,1.99,0.2,0.44,0.67,0.0001,0.0001,0.0001,1.06,0.04,0.44,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
276,0.07,0.0001,0.0001,0.0001,1.18,0.0001,0.0001,0.91,0.0001,0.0001,1.66,0.0001,1.45,0.0001,0.0001,0.0001,0.0001,0.55,0.27,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.67,0.0001,0.34,0.22,0.0001,0.0001,0.66,0.14,0.76,0.0001,0.57,1.08,0.0001,0.0001,0.0001,1.76,0.0001,0.0001,1.28,2.47,0.0001,0.25,0.0001,0.94,0.0001,0.0001,0.0001,1.06,0.41,0.0001,0.0001,1.6,0.0001,0.0001,0.18,0.001,0.71,0.0001,0.07,0.0001,1.86,0.42,1.02,0.38,2.57,0.03,0.0001,0.0001,1.33,1.85,0.0001,0.0001,0.0001,2.49,0.0001,0.0001,1.55,1.59,0.0001,0.0001,0.04,2.31,0.98,0.31,0.69,0.0001,0.0001,3.08,0.0001,0.7,0.56,0.0001,0.0001,0.21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
277,0.0001,0.0001,0.0001,0.0001,0.51,0.0001,0.81,1.63,0.05,0.13,0.92,0.0001,1.13,0.0001,0.0001,0.46,0.0001,0.0001,0.78,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.69,0.78,0.0001,0.0001,1.07,0.0001,0.0001,0.0001,0.82,0.68,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.51,0.63,0.0001,1.23,0.0001,0.21,0.0001,0.0001,0.0001,0.76,0.89,0.0001,0.0001,1.16,0.79,0.24,0.91,1.12,2.27,0.0001,0.73,0.0001,0.82,0.0001,1.01,0.0001,2.06,0.14,0.0001,0.63,0.0001,0.0001,0.0001,0.0001,0.0001,1.64,0.0001,0.0001,0.62,0.52,0.0001,0.0001,0.0001,1.83,1.15,0.53,1.05,0.0001,0.0001,3.99,0.2,0.0001,0.67,0.0001,0.0001,0.0001,0.06,1.04,0.44,0.0001,0.73,0.47,0.0001,0.71,0.12
278,0.07,0.0001,0.15,0.0001,0.0001,0.0001,0.77,2.91,0.0001,0.49,0.66,0.0001,1.45,0.58,0.0001,1.01,0.39,0.55,1.27,0.0001,1.18,0.0001,0.0001,0.88,0.0001,0.0001,0.0001,1.44,1.34,0.0001,0.29,0.0001,0.66,0.0001,0.0001,0.02,0.57,0.08,0.0001,0.0001,0.0001,0.0001,0.0001,0.12,0.28,1.47,0.0001,0.25,0.0001,0.0001,0.0001,0.0001,0.0001,0.06,0.41,0.0001,0.0001,1.6,0.48,0.0001,1.18,1.0,1.71,0.0001,1.07,0.29,0.86,0.0001,0.02,0.38,0.57,0.03,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.55,3.59,0.76,0.0001,0.0001,0.31,2.98,0.31,0.69,0.0001,0.0001,2.08,0.0001,0.0001,0.56,0.0001,0.0001,0.0001,0.0001,0.54,0.0001,0.0001,1.13,0.55,0.0001,0.49,0.0001
279,1.16,0.0001,0.0001,0.24,0.0001,0.0001,1.81,1.63,1.05,0.13,0.0001,0.0001,2.13,0.4,0.43,0.46,0.0001,0.0001,2.78,0.0001,0.81,0.0001,0.0001,0.0001,0.0001,0.0001,0.11,0.55,1.69,0.0001,1.19,0.44,0.07,0.0001,0.0001,1.0,0.82,0.0001,0.0001,0.0001,0.31,0.0001,0.0001,0.24,0.0001,0.63,0.0001,0.23,0.0001,0.21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.16,0.79,0.0001,0.91,1.12,0.27,0.0001,2.73,0.39,0.82,0.0001,0.0001,0.0001,0.06,0.14,0.22,0.63,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,4.62,1.52,1.62,0.0001,0.0001,0.0001,3.15,0.53,0.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.67,0.0001,0.21,0.4,0.0001,0.04,0.44,0.0001,0.0001,1.47,0.89,0.71,0.12
280,0.07,0.0001,0.0001,0.68,0.0001,0.63,0.0001,0.91,0.64,0.0001,0.0001,0.0001,0.45,0.58,1.24,0.0001,0.39,0.55,5.27,0.0001,2.18,0.0001,0.0001,0.0001,0.56,0.0001,0.0001,1.44,0.34,0.0001,0.29,1.56,0.66,1.14,0.0001,0.02,0.57,0.08,0.0001,0.64,0.0001,0.0001,0.0001,2.12,0.28,0.0001,0.21,1.25,0.0001,0.0001,0.0001,0.08,0.0001,0.0001,0.0001,0.0001,0.0001,1.6,0.48,0.0001,0.18,0.0001,0.71,0.0001,2.07,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.33,0.0001,0.0001,0.36,0.0001,0.0001,1.68,0.2,5.55,0.59,2.76,0.0001,0.0001,1.31,0.98,0.31,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.44,1.7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.55,0.0001,0.0001,0.0001
281,0.16,0.0001,0.0001,0.24,0.0001,1.7,0.0001,0.63,0.05,0.0001,0.0001,0.0001,0.0001,0.4,1.43,0.0001,1.66,0.0001,4.78,0.0001,1.81,0.0001,0.0001,0.0001,0.32,0.0001,0.0001,0.55,0.69,0.0001,0.19,1.44,0.07,1.45,0.0001,0.001,0.0001,0.0001,0.0001,1.71,0.0001,0.1,0.36,1.24,0.0001,0.0001,0.31,1.23,0.0001,0.21,0.19,0.52,0.0001,0.0001,0.0001,0.0001,0.0001,2.16,0.79,0.24,0.0001,0.0001,0.0001,0.06,0.73,0.0001,0.0001,0.0001,1.01,0.0001,1.06,0.14,0.0001,0.63,0.13,0.6,0.0001,0.0001,1.15,0.64,0.28,0.95,2.62,1.52,1.62,0.0001,0.0001,2.83,0.0001,0.53,0.0001,0.0001,0.0001,0.0001,0.0001,0.44,0.67,0.44,0.21,0.0001,0.06,0.0001,0.44,0.0001,0.0001,0.47,0.0001,0.0001,0.12
282,0.0001,0.0001,0.15,0.0001,0.18,0.63,0.0001,0.0001,0.0001,0.0001,0.0001,0.17,0.45,0.58,2.24,0.0001,0.39,0.0001,0.27,0.0001,1.18,0.0001,0.0001,0.0001,1.56,0.0001,0.0001,0.44,0.0001,0.0001,0.0001,0.56,0.0001,0.14,0.0001,0.0001,0.0001,0.08,0.0001,0.64,0.0001,0.0001,0.0001,0.0001,0.0001,0.47,0.21,0.25,1.35,0.0001,0.0001,1.08,0.41,0.06,0.41,0.72,0.0001,0.6,0.48,0.0001,0.18,0.0001,0.0001,0.53,0.07,0.29,0.0001,0.0001,2.02,0.0001,1.57,0.0001,0.0001,0.64,0.33,0.0001,0.8,0.36,1.59,0.0001,0.68,0.2,0.55,3.59,1.76,0.0001,0.0001,2.31,0.0001,0.31,0.0001,0.0001,0.66,0.0001,0.0001,0.7,0.0001,0.44,0.7,0.0001,0.0001,0.0001,0.0001,0.87,0.0001,0.55,0.0001,0.49,0.86
283,0.16,0.51,0.0001,0.24,1.51,0.7,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.13,0.4,0.43,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.32,0.0001,0.11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.71,0.0001,0.0001,0.36,0.0001,0.0001,0.63,0.0001,1.23,0.53,0.21,0.0001,0.52,0.0001,0.0001,0.89,0.39,0.0001,0.0001,0.0001,0.24,0.0001,0.0001,0.0001,1.06,0.0001,1.39,0.0001,0.0001,1.01,0.0001,1.06,0.0001,0.0001,1.63,1.13,0.0001,2.3,0.0001,0.15,0.0001,0.28,0.95,0.0001,3.52,1.62,0.0001,0.0001,0.83,0.0001,0.53,1.05,0.44,0.87,0.0001,0.0001,0.44,0.0001,0.0001,0.21,0.0001,0.06,0.04,0.44,1.96,0.0001,0.47,0.0001,1.71,0.0001
284,0.07,0.78,0.15,0.0001,2.18,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.17,0.0001,1.58,0.0001,0.0001,0.0001,0.55,0.27,0.0001,0.18,0.0001,0.0001,0.0001,1.56,0.0001,0.67,0.0001,0.0001,0.0001,0.29,0.0001,0.66,0.0001,0.0001,0.0001,0.0001,0.0001,0.47,0.64,0.0001,0.0001,0.77,0.0001,0.0001,0.0001,0.0001,0.25,0.0001,0.0001,0.0001,0.08,1.41,0.06,0.41,0.72,0.0001,0.0001,0.0001,0.0001,1.18,0.001,0.0001,1.53,0.07,2.29,0.0001,0.0001,0.02,0.0001,0.0001,0.0001,0.0001,1.64,0.33,0.0001,1.8,0.0001,0.59,0.0001,0.0001,0.2,0.0001,3.59,3.76,0.0001,0.0001,1.31,0.0001,1.31,0.69,0.0001,0.66,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.54,0.0001,1.87,0.0001,0.0001,0.0001,0.49,0.0001
285,0.16,0.0001,0.44,0.24,1.51,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.13,1.4,0.0001,0.46,0.0001,0.75,0.78,0.18,0.0001,0.0001,0.0001,0.0001,1.32,0.0001,0.11,0.0001,0.0001,0.0001,1.19,0.0001,0.07,0.0001,0.0001,0.0001,0.0001,0.0001,1.01,0.0001,0.31,0.1,1.36,0.0001,1.51,0.0001,0.0001,0.23,0.0001,0.21,0.0001,0.52,0.69,0.0001,0.0001,0.0001,0.0001,1.16,0.0001,0.24,0.0001,0.12,0.0001,1.06,0.0001,0.39,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.63,0.0001,0.0001,2.3,0.31,0.0001,0.0001,0.28,0.0001,0.0001,1.52,3.62,0.59,0.0001,1.83,0.15,2.53,0.05,0.0001,1.87,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.4,0.06,0.04,0.44,1.96,0.0001,0.47,0.0001,0.0001,0.12
286,0.07,0.0001,0.15,0.68,1.18,0.0001,0.77,0.0001,0.0001,0.0001,0.0001,0.17,0.45,0.58,0.0001,1.01,0.39,0.55,0.27,0.14,0.0001,0.0001,0.0001,0.0001,2.56,0.0001,1.67,0.0001,0.0001,0.0001,1.29,0.0001,0.66,0.0001,0.0001,0.02,0.0001,0.0001,0.47,0.0001,0.91,0.0001,0.0001,0.0001,1.28,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.08,0.41,0.06,0.41,0.72,0.0001,0.0001,0.0001,0.0001,0.18,0.001,0.0001,0.53,0.0001,0.29,0.0001,0.0001,0.02,0.0001,0.0001,0.0001,0.0001,0.64,0.0001,0.0001,2.8,4.36,0.0001,0.0001,0.0001,0.0001,1.55,0.0001,1.76,0.0001,0.04,0.31,2.98,1.31,1.69,0.0001,1.66,1.08,0.0001,0.0001,0.56,0.0001,0.0001,0.21,0.0001,0.54,0.0001,0.87,0.0001,0.0001,0.0001,0.0001,0.0001
287,0.0001,0.0001,0.0001,1.24,0.51,0.0001,0.0001,0.0001,0.05,0.0001,0.0001,0.0001,2.13,1.4,0.0001,0.46,0.66,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,5.32,0.98,1.11,0.0001,0.0001,0.0001,0.19,0.0001,1.07,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.51,0.0001,0.0001,0.23,0.0001,0.21,0.0001,0.0001,0.69,0.0001,0.89,0.39,0.0001,0.0001,0.0001,0.0001,0.0001,0.12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.01,0.0001,0.0001,0.14,1.22,0.0001,0.0001,0.0001,2.3,3.31,0.0001,0.0001,0.0001,0.0001,1.62,0.0001,2.62,0.0001,1.75,0.83,3.15,1.53,2.05,0.44,0.0001,0.99,0.0001,0.0001,0.67,0.44,1.21,1.4,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.12
288,0.07,0.0001,0.15,0.68,0.18,0.0001,0.0001,0.0001,0.0001,0.0001,1.66,0.0001,1.45,0.58,0.0001,1.01,1.39,0.55,0.0001,0.14,0.0001,0.86,0.0001,0.0001,5.56,0.9,0.67,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.02,0.0001,0.0001,0.0001,0.64,0.0001,0.0001,0.0001,0.12,2.28,0.0001,0.0001,1.25,0.0001,0.0001,0.0001,0.0001,0.41,0.0001,1.41,0.72,0.0001,0.0001,0.48,0.0001,0.18,0.001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,2.02,0.0001,0.0001,1.03,0.81,0.0001,0.0001,0.0001,0.0001,1.36,0.0001,0.0001,0.0001,0.0001,0.55,0.0001,1.76,0.0001,3.04,0.31,0.98,0.0001,2.69,0.82,0.0001,0.0001,0.0001,0.0001,0.0001,0.44,0.7,1.21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
289,0.16,0.0001,0.0001,0.0001,0.51,0.0001,0.0001,0.0001,0.0001,0.0001,2.92,0.0001,0.13,0.4,0.0001,0.46,1.66,0.75,0.0001,0.18,0.0001,0.92,0.0001,0.0001,2.32,0.0001,0.11,0.55,0.0001,0.78,0.0001,0.0001,0.07,0.0001,0.0001,1.0,0.0001,0.0001,0.0001,1.71,0.0001,0.0001,0.36,0.24,1.51,0.0001,0.0001,1.23,0.0001,0.21,0.19,0.0001,0.69,0.0001,0.89,0.0001,0.52,0.0001,0.0001,0.0001,0.0001,0.12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.01,0.79,0.0001,1.14,0.22,0.0001,0.13,0.0001,0.0001,2.31,0.0001,0.64,0.0001,0.0001,0.0001,0.0001,0.62,0.0001,2.75,1.83,0.0001,0.0001,4.05,0.44,0.0001,0.0001,0.2,0.44,0.0001,1.44,1.21,0.4,0.0001,0.04,0.0001,0.0001,0.0001,0.47,0.0001,0.0001,0.12
290,0.07,0.0001,0.15,0.0001,0.18,0.0001,0.0001,0.0001,0.64,0.0001,0.66,0.17,0.0001,0.58,0.0001,0.0001,0.0001,0.55,0.0001,0.0001,0.18,0.0001,0.0001,0.88,0.56,0.0001,0.0001,0.44,0.0001,0.22,0.0001,0.0001,0.66,0.14,0.0001,0.02,0.0001,0.0001,0.0001,0.64,0.0001,0.0001,0.0001,0.12,1.28,0.47,0.0001,0.25,0.0001,0.0001,0.0001,0.0001,0.0001,0.06,0.41,0.0001,2.57,0.0001,0.48,0.0001,0.18,0.0001,0.0001,0.0001,0.07,0.0001,0.86,0.42,2.02,0.38,0.0001,0.03,0.0001,0.0001,0.0001,0.85,0.0001,1.36,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.88,2.04,0.31,0.0001,0.0001,3.69,0.82,0.0001,0.0001,0.0001,0.0001,0.0001,0.44,1.7,0.21,0.0001,0.0001,0.0001,0.0001,0.13,1.55,0.0001,0.0001,0.0001
291,0.0001,0.51,0.0001,0.24,0.0001,0.7,0.81,0.0001,1.05,0.0001,0.0001,0.51,0.13,1.4,0.0001,0.46,0.0001,0.75,1.78,0.0001,0.0001,0.0001,0.0001,0.92,0.0001,0.0001,0.0001,0.55,0.0001,0.0001,0.19,0.0001,1.07,0.45,0.0001,0.001,0.0001,0.68,0.0001,0.0001,0.31,0.0001,0.36,1.24,1.51,0.63,0.31,0.0001,0.0001,0.0001,0.19,0.0001,0.0001,0.0001,1.89,0.39,2.52,0.0001,0.0001,0.0001,0.0001,0.0001,0.27,0.0001,0.0001,0.39,0.82,0.0001,2.01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.6,0.0001,1.31,0.0001,0.64,0.0001,0.0001,0.0001,0.0001,0.0001,0.59,0.75,0.0001,0.15,0.0001,3.05,0.0001,0.0001,0.0001,0.0001,0.0001,0.67,1.44,1.21,0.0001,0.0001,0.0001,0.0001,0.0001,0.73,0.47,0.0001,0.0001,0.12
292,0.07,0.0001,0.0001,0.68,0.0001,0.63,0.77,0.0001,0.64,0.0001,0.0001,1.17,0.45,0.58,0.0001,0.0001,0.0001,0.55,3.27,0.0001,0.18,0.0001,0.0001,0.88,0.0001,0.0001,0.0001,1.44,0.34,0.22,1.29,0.0001,0.0001,0.14,0.0001,0.02,0.0001,0.08,0.47,0.0001,0.0001,0.0001,0.77,1.12,1.28,1.47,1.21,0.0001,0.0001,0.0001,0.0001,0.08,0.0001,0.06,0.41,0.0001,2.57,0.0001,0.0001,0.0001,0.0001,0.001,0.71,0.0001,0.0001,0.29,0.86,0.0001,2.02,0.38,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.36,0.0001,1.49,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,1.98,0.0001,1.69,0.0001,0.0001,0.0001,0.0001,0.7,0.56,0.44,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.13,0.55,0.0001,0.0001,0.0001
293,0.16,0.51,0.0001,0.0001,0.0001,0.7,0.0001,0.0001,2.05,0.13,0.0001,1.51,1.13,0.0001,0.0001,0.0001,0.0001,0.75,1.78,0.0001,0.81,0.0001,0.0001,0.92,0.0001,0.0001,0.11,2.55,0.0001,0.0001,1.19,0.0001,0.0001,0.0001,0.0001,0.001,0.0001,0.68,1.01,0.0001,0.0001,0.0001,1.36,0.24,0.51,0.0001,1.31,0.0001,0.53,0.21,0.19,0.0001,0.0001,0.76,0.89,0.39,0.0001,0.0001,0.0001,0.0001,0.0001,0.12,1.27,0.06,0.0001,0.39,0.0001,0.0001,2.01,0.0001,0.06,0.0001,0.0001,0.0001,0.0001,0.0001,0.3,0.31,0.0001,0.0001,0.0001,0.0001,0.0001,1.52,0.62,0.0001,0.0001,0.0001,0.15,0.0001,0.05,0.0001,0.0001,0.0001,0.2,0.0001,0.67,0.44,0.0001,0.0001,0.06,0.04,0.0001,0.0001,2.73,0.47,0.0001,0.0001,0.0001
294,0.0001,0.78,0.0001,0.0001,0.0001,0.63,0.0001,1.91,1.64,0.0001,0.0001,2.17,0.45,0.0001,0.0001,0.0001,0.0001,0.55,0.0001,0.0001,0.18,0.0001,0.0001,0.0001,0.0001,0.0001,1.67,1.44,0.34,0.22,0.29,1.56,0.0001,0.14,0.0001,1.02,0.0001,1.08,1.47,1.64,0.0001,0.0001,0.77,0.0001,0.28,0.0001,2.21,0.0001,1.35,0.94,0.86,0.0001,0.0001,0.0001,0.41,0.0001,0.0001,0.0001,0.48,0.0001,0.18,2.0,0.71,0.53,0.0001,0.29,0.0001,0.0001,1.02,0.38,1.57,0.0001,0.0001,1.64,0.0001,0.0001,0.8,0.0001,0.0001,0.0001,0.0001,3.2,0.0001,2.59,1.76,0.0001,0.0001,0.0001,0.0001,0.0001,0.69,0.0001,0.0001,1.08,0.0001,0.0001,1.56,0.44,0.0001,0.0001,0.6,0.54,0.97,0.87,3.13,0.55,0.0001,0.49,0.0001
